,Nom,Age,Nationalité,General,Potentiel,Club,Valeur,Salaire
83,Declan Rice,23,England,84,87,West Ham United,€52M,€83K
84,Weston McKennie,23,United States,79,84,Juventus,€26.5M,€86K
85,Aurélien Tchouaméni,22,France,83,89,Real Madrid CF,€53.5M,€145K
86,Sidney Raebiger,17,Germany,62,84,SpVgg Greuther Fürth,€1.2M,€500
87,Alejandro Balde Martínez,18,Spain,73,83,FC Barcelona,€6M,€22K
88,Daichi Kamada,25,Japan,81,83,Eintracht Frankfurt,€32.5M,€37K
89,Jadon Sancho,22,England,84,88,Manchester United,€61.5M,€155K
90,Marcus Edwards,23,England,78,84,Sporting CP,€22M,€15K
91,Reece James,22,England,84,88,Chelsea,€57M,€120K
92,Cody Gakpo,23,Netherlands,83,87,PSV,€52M,€29K
93,Kenneth Taylor,20,Netherlands,75,86,Ajax,€12.5M,€11K
94,Wilfried Gnonto,18,Italy,69,85,Leeds United,€3.6M,€8K
95,Nicolò Fagioli,21,Italy,73,85,Juventus,€7.5M,€47K
96,Guillermo Ochoa,36,Mexico,80,80,,€0,€0
97,Robert Lewandowski,33,Poland,91,91,FC Barcelona,€84M,€420K
98,Bruno Miguel Borges Fernandes,27,Portugal,86,86,Manchester United,€72.5M,€190K
99,Sergej Milinković-Savić,27,Serbia,86,87,Lazio,€77.5M,€90K
100,Agustín Rossi,26,Argentina,79,83,Boca Juniors,€19M,€16K
101,Diogo Meireles Costa,22,Portugal,80,86,FC Porto,€27.5M,€11K
102,Alessandro Bastoni,23,Italy,84,90,Inter,€60.5M,€75K
103,Conor Gallagher,22,England,79,86,Chelsea,€35.5M,€89K
104,Jonathan David,22,Canada,79,85,LOSC Lille,€28.5M,€37K
105,Gabriel Teodoro Martinelli Silva,21,Brazil,78,88,Arsenal,€31.5M,€56K
106,Rayan Cherki,18,France,73,88,Olympique Lyonnais,€7M,€19K
107,Anass Zaroury,21,Belgium,68,77,Burnley,€2.7M,€14K
108,Karim Benzema,34,France,91,91,Real Madrid CF,€64M,€450K
109,Thomas Müller,32,Germany,87,87,FC Bayern München,€63M,€115K
110,João Pedro Cavaco Cancelo,28,Portugal,88,88,Manchester City,€82.5M,€250K
111,Robert Lynch Sánchez,24,Spain,77,83,Brighton & Hove Albion,€13.5M,€37K
112,Fikayo Tomori,24,England,84,90,AC Milan,€60.5M,€75K
113,Matthijs de Ligt,22,Netherlands,85,89,FC Bayern München,€71M,€77K
114,Tyrell Malacia,22,Netherlands,79,84,Manchester United,€25M,€86K
115,Gianluca Busio,20,United States,73,86,Venezia FC,€7.5M,€4K
116,Martín Zubimendi Ibáñez,23,Spain,79,86,Real Sociedad,€35M,€32K
117,Anssumane Fati,19,Spain,79,90,FC Barcelona,€38M,€84K
118,Noni Madueke,20,England,77,86,PSV,€23M,€16K
119,Nicolò Rovella,20,Italy,76,88,AC Monza,€18M,€58K
120,Sergio Ramos García,36,Spain,84,84,Paris Saint-Germain,€7.5M,€75K
122,James Milner,36,England,77,77,Liverpool,€3.3M,€65K
123,Luis Suárez,35,Uruguay,84,84,Club Nacional de Football,€18M,€1K
124,Harry Kane,28,England,89,89,Tottenham Hotspur,€105.5M,€240K
125,Leon Goretzka,27,Germany,87,88,FC Bayern München,€91M,€115K
126,Julian Brandt,26,Germany,82,85,Borussia Dortmund,€40M,€60K
127,Martin Ødegaard,23,Norway,84,89,Arsenal,€63.5M,€105K
128,Rúben Diogo da Silva Neves,25,Portugal,83,86,Wolverhampton Wanderers,€47.5M,€105K
129,Aaron Wan-Bissaka,24,England,80,83,Manchester United,€26.5M,€90K
130,Victor Osimhen,23,Nigeria,83,89,Napoli,€58M,€72K
131,Gabriel dos S. Magalhães,24,Brazil,81,86,Arsenal,€35M,€74K
132,Kai Havertz,23,Germany,84,91,Chelsea,€84.5M,€130K
133,David Raum,24,Germany,80,84,RB Leipzig,€28M,€46K
134,Lisandro Martínez,24,Argentina,81,86,Manchester United,€35M,€95K
135,Emile Smith Rowe,21,England,80,87,Arsenal,€43M,€65K
136,Ryan Gravenberch,20,Netherlands,79,88,FC Bayern München,€38.5M,€45K
137,Gonzalo Plata,21,Ecuador,77,86,Real Valladolid CF,€23.5M,€18K
138,Luca Netz,19,Germany,73,83,Borussia Mönchengladbach,€6.5M,€11K
139,Carney Chukwuemeka,18,England,64,84,Chelsea,€1.6M,€7K
140,Romeo Lavia,18,Belgium,66,85,Southampton,€2.1M,€4K
141,Eden Hazard,31,Belgium,84,84,Real Madrid CF,€35M,€220K
142,Carlos Henrique Venancio Casimiro,30,Brazil,89,89,Manchester United,€86M,€240K
143,Adama Traoré Diarra,26,Spain,78,79,Wolverhampton Wanderers,€16.5M,€82K
144,Raphael Dias Belloli,25,Brazil,83,86,FC Barcelona,€48M,€180K
145,Joe Willock,22,England,75,84,Newcastle United,€12.5M,€58K
146,Rúben Santos Gato Alves Dias,25,Portugal,88,91,Manchester City,€107.5M,€230K
147,Ridle Baku,24,Germany,79,83,VfL Wolfsburg,€23.5M,€40K
148,Jules Koundé,23,France,84,89,FC Barcelona,€57.5M,€150K
149,Pedro Antonio Porro Sauceda,22,Spain,81,87,Sporting CP,€38.5M,€15K
150,Maxence Lacroix,22,France,77,86,VfL Wolfsburg,€22M,€34K
151,Thiago Almada,21,Argentina,76,87,Atlanta United,€17M,€7K
152,Georginio Rutter,20,France,75,85,TSG Hoffenheim,€12.5M,€25K
153,Julián Álvarez,22,Argentina,78,86,Manchester City,€32M,€100K
154,Bukayo Saka,20,England,82,89,Arsenal,€60.5M,€76K
155,Anthony Elanga,20,Sweden,74,85,Manchester United,€9.5M,€63K
156,Luka Romero,17,Argentina,67,86,Lazio,€2.5M,€3K
157,Kevin De Bruyne,31,Belgium,91,91,Manchester City,€107.5M,€350K
158,Fábio Henrique Tavares,28,Brazil,86,86,Liverpool,€59.5M,€170K
159,Rick Karsdorp,27,Netherlands,80,81,Roma,€22M,€63K
160,Lucas Tolentino Coelho de Lima,24,Brazil,82,87,West Ham United,€46M,€77K
161,Randal Kolo Muani,23,France,79,84,Eintracht Frankfurt,€27M,€32K
162,Pau Francisco Torres,25,Spain,83,89,Villarreal CF,€50.5M,€43K
163,Rodrygo Silva de Goes,21,Brazil,81,88,Real Madrid CF,€52.5M,€130K
164,Adam Hložek,19,Czech Republic,76,86,Bayer 04 Leverkusen,€16M,€25K
165,Eduardo Camavinga,19,France,79,89,Real Madrid CF,€38M,€78K
166,Luis Vázquez,21,Argentina,72,82,Boca Juniors,€5.5M,€10K
167,Luka Sučić,19,Croatia,74,85,FC Red Bull Salzburg,€9M,€14K
168,Arnau Martínez López,19,Spain,72,83,Girona FC,€4.8M,€9K
169,Mathys Tel,17,France,64,84,FC Bayern München,€1.6M,€2K
170,Theo Hernández,24,France,85,90,AC Milan,€76M,€82K
171,Florentino Morris Luís,22,Portugal,77,85,SL Benfica,€22.5M,€11K
172,Nicolò Zaniolo,22,Italy,81,88,Roma,€53M,€71K
173,Mohamed Simakan,22,France,78,86,RB Leipzig,€29.5M,€39K
174,Brenden Aaronson,21,United States,75,82,Leeds United,€11.5M,€26K
175,Wesley Fofana,21,France,79,86,Chelsea,€33M,€67K
176,Tanguy Nianzou,20,France,73,85,Sevilla FC,€7M,€13K
177,Devyne Rensch,19,Netherlands,74,84,Ajax,€8.5M,€7K
178,Martin Baturina,19,Croatia,70,86,Dinamo Zagreb,€4.1M,€500
179,Arda Güler,17,Turkey,69,86,Fenerbahçe SK,€3.5M,€3K
180,Gareth Bale,32,Wales,81,81,Los Angeles FC,€20.5M,€14K
181,Luka Modrić,36,Croatia,88,88,Real Madrid CF,€29M,€230K
183,Heung Min Son,29,Korea Republic,89,89,Tottenham Hotspur,€101M,€240K
184,Jack Grealish,26,England,84,84,Manchester City,€46M,€185K
185,Filip Kostić,29,Serbia,85,85,Juventus,€53M,€165K
186,N'Golo Kanté,31,France,88,88,Chelsea,€64M,€210K
187,Iñaki Williams Arthuer,28,Ghana,81,81,Athletic Club de Bilbao,€26.5M,€40K
188,Marcos Llorente Moreno,27,Spain,84,85,Atlético de Madrid,€48M,€81K
189,Frenkie de Jong,25,Netherlands,87,92,FC Barcelona,€116.5M,€230K
190,Renato Júnior Luz Sanches,24,Portugal,80,85,Paris Saint-Germain,€31.5M,€72K
191,Miguel Almirón,28,Paraguay,78,78,Newcastle United,€14M,€90K
192,Paul Pogba,29,France,85,85,Juventus,€52.5M,€165K
193,Lucas Rodrigues M. Silva,29,Brazil,79,79,Tottenham Hotspur,€17M,€100K
194,Eric Dier,28,England,80,81,Tottenham Hotspur,€20M,€90K
195,Raheem Sterling,27,England,86,86,Chelsea,€72.5M,€195K
196,Sadio Mané,30,Senegal,89,89,FC Bayern München,€101M,€155K
197,Thomas Partey,29,Ghana,84,84,Arsenal,€36M,€115K
198,Paulo Dybala,28,Argentina,86,86,Roma,€69.5M,€130K
199,Dele Alli,26,England,77,80,Beşiktaş JK,€14M,€40K
200,Aleksandar Mitrović,27,Serbia,79,79,Fulham,€19M,€70K
201,Leroy Sané,26,Germany,84,85,FC Bayern München,€49.5M,€90K
202,Axel Disasi,24,France,78,83,AS Monaco,€19M,€39K
203,César Montes,25,Mexico,77,82,,€0,€0
204,Lukas Nmecha,23,Germany,78,83,VfL Wolfsburg,€21.5M,€44K
205,Marcus Rashford,24,England,81,85,Manchester United,€37.5M,€120K
206,Alexander Isak,22,Sweden,80,85,Newcastle United,€33M,€90K
207,Carlos Soler Barragán,25,Spain,83,88,Paris Saint-Germain,€53M,€100K
208,Achraf Hakimi,23,Morocco,84,87,Paris Saint-Germain,€53.5M,€90K
209,Ibrahima Konaté,23,France,81,88,Liverpool,€48M,€90K
210,Gleison Bremer Silva Nascimento,25,Brazil,83,87,Juventus,€45.5M,€115K
211,Timothy Weah,22,United States,74,81,LOSC Lille,€8.5M,€23K
212,Yunus Musah,19,United States,74,84,Valencia CF,€9M,€16K
213,Noah Mbamba,17,Belgium,64,84,Club Brugge KV,€1.5M,€500
214,Niclas Füllkrug,29,Germany,76,76,SV Werder Bremen,€7.5M,€28K
215,Leandro Paredes,28,Argentina,80,80,Juventus,€21M,€86K
216,Emre Can,28,Germany,82,82,Borussia Dortmund,€30.5M,€63K
217,Lucas Hernández,26,France,84,86,FC Bayern München,€46M,€82K
218,Lucas Torreira,26,Uruguay,81,83,Galatasaray SK,€28.5M,€73K
219,Gianluca Scamacca,23,Italy,80,86,West Ham United,€33.5M,€73K
220,Franck Yannick Kessié,25,Côte d'Ivoire,84,86,FC Barcelona,€47.5M,€165K
221,Donyell Malen,23,Netherlands,79,84,Borussia Dortmund,€27M,€47K
222,Sebastian Szymański,23,Poland,75,83,Feyenoord,€12.5M,€10K
223,Moise Kean,22,Italy,78,86,Juventus,€32M,€41K
224,Boubacar Kamara,22,France,80,86,Aston Villa,€31M,€69K
225,Juan Foyth,24,Argentina,79,84,Villarreal CF,€24.5M,€29K
226,Pervis Estupiñán,24,Ecuador,79,83,Brighton & Hove Albion,€23.5M,€55K
227,Mikkel Damsgaard,21,Denmark,76,84,Brentford,€17M,€37K
228,Joe Gelhardt,20,England,72,83,Leeds United,€5M,€22K
229,Samuel Chukwueze,23,Nigeria,79,85,Villarreal CF,€27.5M,€32K
230,Bryan Gil Salvatierra,21,Spain,77,84,Tottenham Hotspur,€21.5M,€56K
231,Jacob Ramsey,21,England,75,85,Aston Villa,€12.5M,€47K
232,Nuno Albertino Varela Tavares,22,Portugal,74,81,Olympique de Marseille,€8M,€46K
233,Vítor Machado Ferreira,22,Portugal,79,89,Paris Saint-Germain,€39.5M,€68K
234,Pierre Kalulu,22,France,78,85,AC Milan,€26.5M,€47K
235,Benjamin Šeško,19,Slovenia,72,85,FC Red Bull Salzburg,€5.5M,€13K
236,Mario Vušković,20,Croatia,72,83,Hamburger SV,€4.8M,€7K
237,Jeremy Sarmiento,20,Ecuador,66,80,Brighton & Hove Albion,€2.1M,€12K
238,Pablo Torre Carral,19,Spain,69,86,FC Barcelona,€3.6M,€27K
239,Almoez Ali,25,Qatar,72,75,,€0,€0
240,Eric Maxim Choupo-Moting,33,Cameroon,75,75,FC Bayern München,€3.6M,€50K
241,Memphis Depay,28,Netherlands,85,85,FC Barcelona,€55M,€230K
242,Virgil van Dijk,30,Netherlands,89,89,Liverpool,€84.5M,€220K
244,Ivan Perišić,33,Croatia,83,83,Tottenham Hotspur,€22.5M,€120K
245,Pierre-Emile Højbjerg,26,Denmark,84,86,Tottenham Hotspur,€47M,€120K
246,Youri Tielemans,25,Belgium,84,86,Leicester City,€52.5M,€115K
247,Bernardo Mota Carvalho e Silva,27,Portugal,88,88,Manchester City,€97.5M,€260K
248,Nicolò Barella,25,Italy,86,89,Inter,€89.5M,€110K
249,Diogo José Teixeira da Silva,25,Portugal,85,89,Liverpool,€76M,€170K
250,Amine Harit,25,Morocco,76,79,Olympique de Marseille,€10M,€23K
251,José Diogo Dalot Teixeira,23,Portugal,79,85,Manchester United,€26M,€86K
252,Carlos Rodríguez,25,Mexico,76,81,,€0,€0
253,Ferran Torres García,22,Spain,82,88,FC Barcelona,€49M,€150K
254,Moussa Diaby,22,France,84,88,Bayer 04 Leverkusen,€61.5M,€70K
255,Orkun Kökçü,21,Turkey,79,86,Feyenoord,€35.5M,€11K
256,Mohammed Kudus,21,Ghana,77,85,Ajax,€23.5M,€13K
257,Edmond Tapsoba,23,Burkina Faso,81,86,Bayer 04 Leverkusen,€35M,€49K
258,Sven Botman,22,Netherlands,80,86,Newcastle United,€31M,€74K
259,Brian Brobbey,20,Netherlands,76,85,Ajax,€16.5M,€13K
260,Alan Velasco,19,Argentina,75,85,FC Dallas,€12M,€5K
261,Wilfried Singo,21,Côte d'Ivoire,76,85,Torino F.C.,€16M,€26K
262,Fábio Daniel Ferreira Vieira,22,Portugal,77,87,Arsenal,€23.5M,€62K
263,Isaak Touré,19,France,68,84,Olympique de Marseille,€2.9M,€7K
264,Édouard Michut,19,France,66,84,Sunderland,€2.2M,€10K
265,Marcos Aoás Corrêa,28,Brazil,88,90,Paris Saint-Germain,€92M,€170K
266,Raphaël Guerreiro,28,Portugal,82,82,Borussia Dortmund,€27.5M,€57K
267,Daniele Rugani,27,Italy,76,77,Juventus,€7.5M,€72K
268,Nabil Fekir,28,France,85,85,Real Betis Balompié,€54.5M,€48K
269,Joe Gomez,25,England,81,86,Liverpool,€34M,€100K
270,Mikel Merino Zazón,26,Spain,83,86,Real Sociedad,€47M,€49K
271,Gabriel Fernando de Jesus,25,Brazil,83,86,Arsenal,€48.5M,€115K
272,Brahim Díaz,22,Spain,78,86,AC Milan,€31.5M,€110K
273,Lautaro Martínez,24,Argentina,86,90,Inter,€98.5M,€110K
274,Alban Lafont,23,France,80,85,FC Nantes,€25.5M,€21K
275,Rodrigo Hernández Cascante,26,Spain,87,89,Manchester City,€88.5M,€200K
276,Richarlison de Andrade,25,Brazil,81,84,Tottenham Hotspur,€34.5M,€105K
277,Luis Sinisterra,23,Colombia,80,85,Leeds United,€32M,€43K
278,Odsonne Edouard,24,France,76,80,Crystal Palace,€11M,€46K
279,Patrik Schick,26,Czech Republic,84,86,Bayer 04 Leverkusen,€53M,€88K
280,Japhet Tanganga,23,England,74,80,Tottenham Hotspur,€6M,€49K
281,Martin Terrier,25,France,81,84,Stade Rennais FC,€34M,€61K
282,Pedro Lomba Neto,22,Portugal,78,83,Wolverhampton Wanderers,€21.5M,€72K
283,Nicolás González,24,Argentina,80,85,Fiorentina,€32M,€58K
284,Sergio Gómez Martín,21,Spain,74,83,Manchester City,€9M,€53K
285,Anthony Gordon,21,England,75,84,Everton,€12.5M,€26K
286,Francisco Mota Castro Trincão,22,Portugal,76,83,Sporting CP,€15M,€95K
287,Youssouf Fofana,23,France,79,84,AS Monaco,€24.5M,€43K
288,Maxence Caqueret,22,France,79,85,Olympique Lyonnais,€26M,€52K
289,Quinten Timber,21,Netherlands,73,85,Feyenoord,€7.5M,€7K
290,Crysencio Summerville,20,Netherlands,69,78,Leeds United,€3.1M,€13K
291,João Pedro Junqueira de Jesus,20,Brazil,71,84,Watford,€4.5M,€22K
292,Talles Magno Bacelar Martins,20,Brazil,72,84,New York City FC,€5.5M,€5K
293,Patrick Wimmer,21,Austria,76,85,VfL Wolfsburg,€17M,€30K
294,Malick Thiaw,20,Germany,72,83,AC Milan,€4.8M,€24K
295,Amadou Onana,20,Belgium,75,85,Everton,€11.5M,€23K
296,Cole Palmer,20,England,66,83,Manchester City,€2.2M,€20K
297,Alex Scott,18,England,69,84,Bristol City,€3.2M,€6K
298,Mohamed Sankoh,18,Netherlands,62,81,Vitesse,€1M,€2K
299,Iker Bravo Solanilla,17,Spain,65,84,Real Madrid CF,€1.8M,€2K
300,Gianluigi Buffon,44,Italy,79,79,Parma,€1.9M,€3K
301,Kyle Walker,32,England,85,85,Manchester City,€37.5M,€170K
302,Sergio Busquets Burgos,33,Spain,85,85,FC Barcelona,€26.5M,€190K
303,Romelu Lukaku,29,Belgium,86,86,Inter,€68M,€200K
304,Antoine Griezmann,31,France,83,83,Atlético de Madrid,€30.5M,€80K
305,Riyad Mahrez,31,Algeria,86,86,Manchester City,€56.5M,€220K
306,Arkadiusz Milik,28,Poland,80,80,Juventus,€21.5M,€53K
307,Ricardo Andrade Quaresma Bernardo,37,Portugal,76,76,Vitória de Guimarães,€2.4M,€10K
308,Zlatan Ibrahimović,40,Sweden,82,82,AC Milan,€0,€63K
309,Thiago Emiliano da Silva,37,Brazil,86,86,Chelsea,€12M,€115K
310,Mesut Özil,33,Germany,77,77,İstanbul Başakşehir FK,€6.5M,€37K
311,Edinson Cavani,35,Uruguay,81,81,Valencia CF,€11M,€37K
312,Thiago Alcântara,31,Spain,86,86,Liverpool,€55.5M,€180K
313,Daniel Parejo Muñoz,33,Spain,86,86,Villarreal CF,€42M,€64K
314,Hakan Çalhanoğlu,28,Turkey,84,84,Inter,€42M,€100K
315,Mohamed Salah,30,Egypt,90,90,Liverpool,€115.5M,€270K
316,Joshua Kimmich,27,Germany,89,90,FC Bayern München,€105.5M,€130K
317,Darío Benedetto,32,Argentina,77,77,Boca Juniors,€8.5M,€20K
318,Jeremiah St. Juste,25,Netherlands,76,80,Sporting CP,€9.5M,€12K
319,André-Franck Zambo Anguissa,26,Cameroon,81,83,Napoli,€28.5M,€58K
320,Denis Zakaria,25,Switzerland,81,86,Chelsea,€34.5M,€95K
321,Antonee Robinson,24,United States,74,77,Fulham,€5.5M,€35K
322,Dayot Upamecano,23,France,81,87,FC Bayern München,€37M,€54K
323,Unai Simón Mendibil,25,Spain,83,86,Athletic Club de Bilbao,€37M,€30K
324,Cristian Romero,24,Argentina,83,88,Tottenham Hotspur,€49.5M,€95K
325,Takehiro Tomiyasu,23,Japan,79,84,Arsenal,€24.5M,€65K
326,Aaron Ramsdale,24,England,82,86,Arsenal,€34.5M,€62K
327,Ibrahim Sangaré,24,Côte d'Ivoire,81,86,PSV,€35.5M,€20K
328,Ismaïla Sarr,24,Senegal,77,83,Watford,€16.5M,€39K
329,Evan Ndicka,22,France,81,85,Eintracht Frankfurt,€34M,€30K
330,Mattéo Guendouzi,23,France,80,86,Olympique de Marseille,€33M,€41K
331,Marc Cucurella Saseta,23,Spain,81,85,Chelsea,€34.5M,€90K
332,Alexis Mac Allister,23,Argentina,76,82,Brighton & Hove Albion,€12M,€49K
334,Amine Gouiri,22,France,79,86,Stade Rennais FC,€36M,€49K
335,Jesus Ferreira,21,United States,74,84,FC Dallas,€9.5M,€7K
336,Oumar Solet,22,France,75,83,FC Red Bull Salzburg,€12M,€20K
337,Brandon Williams,21,England,73,78,Manchester United,€4.4M,€46K
338,William Saliba,21,France,80,88,Arsenal,€44.5M,€58K
339,Daniel Olmo Carvajal,24,Spain,82,87,RB Leipzig,€46M,€59K
340,Hugo Guillamón Sammartín,22,Spain,74,82,Valencia CF,€9M,€22K
341,Francisco José García Torres,22,Spain,75,83,Rayo Vallecano,€12M,€15K
342,Dávid Hancko,24,Slovakia,77,85,Feyenoord,€22M,€10K
343,Mateus Tetê,22,Brazil,77,86,Olympique Lyonnais,€23.5M,€1K
344,Tanguy Coulibaly,21,France,69,80,VfB Stuttgart,€3.1M,€9K
345,Felipe Rodrigues da Silva,21,Brazil,74,84,SL Benfica,€9M,€8K
346,Kamaldeen Sulemana,20,Ghana,75,85,Stade Rennais FC,€12.5M,€32K
347,Lazar Samardžić,20,Serbia,70,80,Udinese Calcio,€3.5M,€7K
348,Illia Zabarnyi,19,Ukraine,73,83,Dynamo Kyiv,€6M,€500
349,Fabiano Parisi,21,Italy,73,83,Empoli,€6.5M,€7K
350,Jamie Bynoe-Gittens,17,England,67,87,Borussia Dortmund,€2.8M,€2K
351,Marko Lazetić,18,Serbia,65,85,AC Milan,€2M,€6K
352,Máximo Perrone,19,Argentina,70,84,Vélez Sarsfield,€3.8M,€5K
353,Eric Martel,20,Germany,67,84,1. FC Köln,€2.5M,€6K
354,Alejandro Baena Rodríguez,20,Spain,75,82,Villarreal CF,€11M,€21K
355,Nicolas Seiwald,21,Austria,75,84,FC Red Bull Salzburg,€12.5M,€19K
